id,name,cuisine,rating,review_count,price,address,zip_code,latitude,longitude,phone,url
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,Chinese,4.4,1430,$$,"40 W 56th St, New York, NY 10019",10019,40.76292,-73.976546,(212) 213-2299,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,Chinese,4.6,565,$$,"492 9th Ave, New York, NY 10018",10018,40.75547,-73.99439,(212) 918-1470,https://www.yelp.com/biz/chi-restaurant-and-bar-new-york?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
fupW5th9P2e1lKFosY5Z8Q,Mountain House,Chinese,4.6,64,,"353 W 46th St, New York, NY 10036",10036,40.76080344265001,-73.98975277116382,(646) 476-6666,https://www.yelp.com/biz/mountain-house-new-york?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
XvSoRKqb1Xzp0uMbBX8GQQ,Easy Joy Dim Sum & AYCE Hot Pot,Chinese,4.8,24,,"145 Mulberry St, New York, NY 10013",10013,40.718959,-73.99761981165686,(929) 243-6130,https://www.yelp.com/biz/easy-joy-dim-sum-and-ayce-hot-pot-new-york?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,Chinese,4.1,1898,$$,"334 W 46th St, New York, NY 10036",10036,40.76015,-73.9893699,(646) 861-1910,https://www.yelp.com/biz/dim-sum-palace-new-york-8?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
h0pRCiJDrCN7tm3VX5tILQ,CHILI,Chinese,4.6,933,$$,"13 E 37th St, New York, NY 10016",10016,40.75002,-73.98215,(646) 882-0666,https://www.yelp.com/biz/chili-new-york?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
Y5TqZhNxPC6BWnM7zsCSjA,Din Tai Fung,Chinese,4.2,2028,$$$,"1633 Broadway, New York, NY 10022",10022,40.7621134737354,-73.9840022349182,(212) 287-9178,https://www.yelp.com/biz/din-tai-fung-new-york-3?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,Chinese,4.0,1794,$$,"60 W 45th St, New York, NY 10036",10036,40.75632658419739,-73.98187471577259,(212) 786-2068,https://www.yelp.com/biz/xian-famous-foods-new-york-39?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,Chinese,3.8,7602,$$,"46 Bowery St, New York, NY 10013",10013,40.7156608,-73.9967012,(212) 233-8888,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,Chinese,3.9,1426,$$,"90 3rd Ave, New York, NY 10003",10003,40.732072,-73.988074,(212) 390-8685,https://www.yelp.com/biz/han-dynasty-new-york?adjust_creative=Pd8Mtj8f1Qi2bak8JqKwWg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Pd8Mtj8f1Qi2bak8JqKwWg
